id	name	dept	job	years	salary	comm	Total amount	Manager_id	Mgr salary	Mgr Total amount	Greater salary	Makes more money
10	Sanders	20	Mgr  	7	98.357,50		98.357,50	10	98357,5	98357,5	FALSO	FALSO
20	Pernal	20	Sales	8	78.171,25	612,45	78.783,70	10	98357,5	98357,5	FALSO	FALSO
30	Marenghi	38	Mgr  	5	77.506,75		77.506,75	30	77506,75	77506,75	FALSO	FALSO
40	O'Brien	38	Sales	6	78.006,00	846,55	78.852,55	30	77506,75	77506,75	VERDADEIRO	VERDADEIRO
50	Hanes	15	Mgr  	10	80.659,80		80.659,80	50	80659,8	80659,8	FALSO	FALSO
60	Quigley	38	Sales		66.808,30	650,25	67.458,55	30	77506,75	77506,75	FALSO	FALSO
70	Rothman	15	Sales	7	76.502,83	1.152,00	77.654,83	50	80659,8	80659,8	FALSO	FALSO
80	James	20	Clerk		43.504,60	128,20	43.632,80	10	98357,5	98357,5	FALSO	FALSO
90	Koonitz	42	Sales	6	38.001,75	1.386,70	39.388,45	100	78352,8	78352,8	FALSO	FALSO
100	Plotz	42	Mgr  	7	78.352,80		78.352,80	100	78352,8	78352,8	FALSO	FALSO
110	Ngan	15	Clerk	5	42.508,20	206,60	42.714,80	50	80659,8	80659,8	FALSO	FALSO
120	Naughton	38	Clerk		42.954,75	180,00	43.134,75	30	77506,75	77506,75	FALSO	FALSO
130	Yamaguchi	42	Clerk	6	40.505,90	75,60	40.581,50	100	78352,8	78352,8	FALSO	FALSO
140	Fraye	51	Mgr  	6	91.150,00		91.150,00	140	91150	91150	FALSO	FALSO
150	Williams	51	Sales	6	79.456,50	637,65	80.094,15	140	91150	91150	FALSO	FALSO
160	Molinare	10	Mgr  	7	82.959,20		82.959,20	160	82959,2	82959,2	FALSO	FALSO
170	Kermisch	15	Clerk	4	42.258,50	110,10	42.368,60	50	80659,8	80659,8	FALSO	FALSO
180	Abrahams	38	Clerk	3	37.009,75	236,50	37.246,25	30	77506,75	77506,75	FALSO	FALSO
190	Sneider	20	Clerk	8	34.252,75	126,50	34.379,25	10	98357,5	98357,5	FALSO	FALSO
200	Scoutten	42	Clerk		41.508,60	84,20	41.592,80	100	78352,8	78352,8	FALSO	FALSO
210	Lu	10	Mgr  	10	90.010,00		90.010,00	210	90010	90010	FALSO	FALSO
220	Smith	51	Sales	7	87.654,50	992,80	88.647,30	140	91150	91150	FALSO	FALSO
230	Lundquist	51	Clerk	3	83.369,80	189,65	83.559,45	140	91150	91150	FALSO	FALSO
240	Daniels	10	Mgr  	5	79.260,25		79.260,25	240	79260,25	79260,25	FALSO	FALSO
250	Wheeler	51	Clerk	6	74.460,00	513,30	74.973,30	140	91150	91150	FALSO	FALSO
260	Jones	10	Mgr  	12	81.234,00		81.234,00	260	81234	81234	FALSO	FALSO
270	Lea	66	Mgr  	9	88.555,50		88.555,50	270	88555,5	88555,5	FALSO	FALSO
280	Wilson	66	Sales	9	78.674,50	811,50	79.486,00	270	88555,5	88555,5	FALSO	FALSO
290	Quill	84	Mgr  	10	89.818,00		89.818,00	290	89818	89818	FALSO	FALSO
300	Davis	84	Sales	5	65.454,50	806,10	66.260,60	290	89818	89818	FALSO	FALSO
310	Graham	66	Sales	13	71.000,00	200,30	71.200,30	270	88555,5	88555,5	FALSO	FALSO
320	Gonzales	66	Sales	4	76.858,20	844,00	77.702,20	270	88555,5	88555,5	FALSO	FALSO
330	Burke	66	Clerk	1	49.988,00	55,50	50.043,50	270	88555,5	88555,5	FALSO	FALSO
340	Edwards	84	Sales	7	67.844,00	1.285,00	69.129,00	290	89818	89818	FALSO	FALSO
350	Gafney	84	Clerk	5	43.030,50	188,00	43.218,50	290	89818	89818	FALSO	FALSO
